m/z,retention_time,p-value,t-score,custom_id
124.9556,26,0.592878574,0.55,AE_pos_124.9556_26
125.0373,509,0.002022752,3.68,AE_pos_125.0373_509
125.0375,93,0.818678874,0.23,AE_pos_125.0375_93
125.0957,197,0.971951971,0.04,AE_pos_125.0957_197
125.0956,519,0.429962755,-0.81,AE_pos_125.0956_519
125.5283,165,0.671705187,-0.43,AE_pos_125.5283_165
125.5351,25,0.148186084,1.52,AE_pos_125.5351_25
125.5464,68,0.051402853,2.11,AE_pos_125.5464_68
125.9529,26,0.185386523,-1.38,AE_pos_125.9529_26
125.9636,431,0.231902378,1.24,AE_pos_125.9636_431
125.9637,25,0.263038274,-1.16,AE_pos_125.9637_25
125.9855,26,0.96868803,-0.04,AE_pos_125.9855_26
126.0213,60,0.900533762,0.13,AE_pos_126.0213_60
126.0544,516,0.625939761,-0.5,AE_pos_126.0544_516
126.5446,164,0.834155321,0.21,AE_pos_126.5446_164
126.5542,37,0.068032579,-1.96,AE_pos_126.5542_37
126.9549,25,0.178346634,-1.41,AE_pos_126.9549_25
126.9716,28,0.422268463,-0.82,AE_pos_126.9716_28
126.9827,510,0.564959509,-0.59,AE_pos_126.9827_510
126.9888,500,0.258409262,1.17,AE_pos_126.9888_500
126.989,28,0.243730563,-1.21,AE_pos_126.989_28
127.0152,42,0.012383997,-2.82,AE_pos_127.0152_42
127.015,535,0.660084915,0.45,AE_pos_127.015_535
127.0383,65,0.014164544,-2.75,AE_pos_127.0383_65
127.0511,33,0.030878203,2.37,AE_pos_127.0511_33
127.0748,506,0.623932425,-0.5,AE_pos_127.0748_506
127.1113,81,0.847811181,-0.2,AE_pos_127.1113_81
127.1113,410,0.355039487,-0.95,AE_pos_127.1113_410
127.9532,27,0.029965796,-2.38,AE_pos_127.9532_27
127.9663,23,0.50373333,-0.68,AE_pos_127.9663_23
127.9797,42,0.076651576,-1.89,AE_pos_127.9797_42
127.9813,517,0.042665746,-2.2,AE_pos_127.9813_517
127.9886,393,0.545215664,-0.62,AE_pos_127.9886_393
127.9888,47,0.244543798,-1.21,AE_pos_127.9888_47
128.0187,44,0.285477726,1.11,AE_pos_128.0187_44
128.0533,292,0.016397139,2.68,AE_pos_128.0533_292
128.0615,108,0.084200753,-1.84,AE_pos_128.0615_108
128.0615,333,0.256524112,1.18,AE_pos_128.0615_333
128.0615,553,0.715051696,0.37,AE_pos_128.0615_553
128.0702,55,0.241759153,-1.22,AE_pos_128.0702_55
