,input_row,EID,str_row_ion,compounds,input_row.1,m/z,retention_time,p_value,statistic,CompoundID_from_user,compound_name,compound_name_no_colon
16,row92,E38,row92_M+H[1+],C00937;C00424;C05235;C00163,row92,75.044167235544,766.917724609375,0.0213875220047941,-3.0035334102057507,M75.044167T766.9177_2,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,(S)-Lactaldehyde
16,row92,E38,row92_M+H[1+],C00937;C00424;C05235;C00163,row92,75.044167235544,766.917724609375,0.0213875220047941,-3.0035334102057507,M75.044167T766.9177_2,Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol,Hydroxyacetone
16,row92,E38,row92_M+H[1+],C00937;C00424;C05235;C00163,row92,75.044167235544,766.917724609375,0.0213875220047941,-3.0035334102057507,M75.044167T766.9177_2,Propionate (n-C3:0),Propionate (n-C3:0)
17,row93,E39,row84_M+H[1+];row93_M+H[1+];row94_M+H[1+];row96_M+H[1+],C00937;C00424;C05235;C00163,row93,75.0442264153253,864.344787597656,0.1825008443079666,-1.8809988195054577,M75.044226T864.3448,(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde,(R)-Lactaldehyde
17,row93,E39,row84_M+H[1+];row93_M+H[1+];row94_M+H[1+];row96_M+H[1+],C00937;C00424;C05235;C00163,row93,75.0442264153253,864.344787597656,0.1825008443079666,-1.8809988195054577,M75.044226T864.3448,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,(S)-Lactaldehyde
17,row93,E39,row84_M+H[1+];row93_M+H[1+];row94_M+H[1+];row96_M+H[1+],C00937;C00424;C05235;C00163,row93,75.0442264153253,864.344787597656,0.1825008443079666,-1.8809988195054577,M75.044226T864.3448,Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol,Hydroxyacetone
17,row93,E39,row84_M+H[1+];row93_M+H[1+];row94_M+H[1+];row96_M+H[1+],C00937;C00424;C05235;C00163,row93,75.0442264153253,864.344787597656,0.1825008443079666,-1.8809988195054577,M75.044226T864.3448,Propionate (n-C3:0),Propionate (n-C3:0)
18,row94,E39,row84_M+H[1+];row93_M+H[1+];row94_M+H[1+];row96_M+H[1+],C00937;C00424;C05235;C00163,row94,75.044225763287,835.881805419922,0.9983460305590728,-0.0035982467463465,M75.044226T835.8818,(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde,(R)-Lactaldehyde
18,row94,E39,row84_M+H[1+];row93_M+H[1+];row94_M+H[1+];row96_M+H[1+],C00937;C00424;C05235;C00163,row94,75.044225763287,835.881805419922,0.9983460305590728,-0.0035982467463465,M75.044226T835.8818,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,(S)-Lactaldehyde
18,row94,E39,row84_M+H[1+];row93_M+H[1+];row94_M+H[1+];row96_M+H[1+],C00937;C00424;C05235;C00163,row94,75.044225763287,835.881805419922,0.9983460305590728,-0.0035982467463465,M75.044226T835.8818,Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol,Hydroxyacetone
