massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row38	75.04419524	725.6845703	0.615396879	-0.843601414	M75.044195T725.6846
row39	75.94542704	766.8030396	0.638822636	0.797532832	M75.945427T766.803
row40	76.03945562	43.83259964	0.389412003	-1.304083114	M76.039456T43.8326
row41	76.93308885	766.4123535	0.133980302	2.090182397	M76.933089T766.4124_1
row42	76.95330594	765.9674683	0.966885623	0.075731271	M76.953306T765.9675_2
row43	77.0385141	199.4287643	0.915486669	-0.208394625	M77.038514T199.4288
row44	77.03827525	162.3671875	0.08875124	2.323380318	M77.038275T162.3672
row45	77.03846555	80.73757172	0.474344889	1.121042804	M77.038466T80.7376
row46	77.94095261	766.8118896	0.438919185	1.195842896	M77.940953T766.8119
row47	78.04631428	162.3338165	0.062718479	2.508867312	M78.046314T162.3338
row48	78.06069376	651.8736877	0.313666585	-1.492891269	M78.060694T651.8737_2
row49	78.17322167	676.5778809	0.066606705	-2.475901272	M78.173222T676.5779_2
row50	78.28441045	676.5802307	0.086089919	-2.339967496	M78.28441T676.5802_4
row51	78.39618211	676.592041	0.234184645	-1.733163226	M78.396182T676.592_5
row52	78.96703281	216.5781631	0.000596693	-4.464901047	M78.967033T216.5782
row53	79.05418895	162.4102898	0.038788935	2.754872465	M79.054189T162.4103
row54	79.05169992	219.147583	0.993568405	-0.019444339	M79.0517T219.1476_1
row55	79.55908661	490.4768372	0.109519201	2.208508157	M79.559087T490.4768_1
row56	79.68449557	490.4768372	0.001442691	4.126745697	M79.684496T490.4768_2
row57	79.80999278	490.4742279	0.001089517	4.226419059	M79.809993T490.4742_3
row58	80.28138308	676.0205688	0.546634966	-0.975908815	M80.281383T676.0206_1
row59	80.33724933	676.0202942	0.758280705	-0.541367459	M80.337249T676.0203_2
row60	80.6156591	676.0072021	0.303719141	-1.521644495	M80.615659T676.0072_1
row61	80.72726008	676.0168457	0.653913328	-0.767842195	M80.72726T676.0168_2
row62	80.92827479	40.99350166	0.948057139	0.121802916	M80.928275T40.9935_1
row63	80.9465771	41.01329231	0.732655267	-0.599542794	M80.946577T41.0133_2
row64	80.96302485	216.5761261	0.00070881	-4.398675106	M80.963025T216.5761
row65	80.96778076	40.99350166	0.8649692	0.310342342	M80.967781T40.9935_3
row66	81.0637918	680.838501	0.128503435	-2.113436355	M81.063792T680.8385_1
row67	82.23813306	491.0286865	0.540889468	0.986913984	M82.238133T491.0287
row68	82.92456877	40.9512291	0.902615234	-0.235815019	M82.924569T40.9512_1
row69	82.94470592	41.01321793	0.905598266	-0.229736896	M82.944706T41.0132_2
row70	82.96556207	40.92720604	0.857177394	0.333414735	M82.965562T40.9272_3
row71	83.08535689	586.3513184	0.001872822	4.020671362	M83.085357T586.3513
row72	83.08524635	606.6801147	0.617329774	0.837495755	M83.085246T606.6801
row73	83.92997101	764.909729	0.094232601	2.291282343	M83.929971T764.9097
row74	84.04432664	76.76305389	0.032341328	2.838295422	M84.044327T76.7631
row75	84.04447257	782.4252625	0.879033381	0.285662244	M84.044473T782.4253
row76	84.04452822	43.47048569	0.813030565	0.417859951	M84.044528T43.4705_2
row77	84.08092438	62.40090561	0.74046844	0.583019855	M84.080924T62.4009
row78	84.26274112	689.7748718	0.109959927	-2.205547661	M84.262741T689.7749_1
row79	84.28366469	689.7748413	0.095184355	-2.283815396	M84.283665T689.7748_2
row80	84.3047349	689.7778015	0.163618549	-1.96669836	M84.304735T689.7778_3
row81	84.37416806	689.774353	0.42039883	-1.230950305	M84.374168T689.7744_4
row82	84.39509412	689.7748413	0.107305143	-2.221864496	M84.395094T689.7748_5
row83	84.50756099	718.6452942	0.67890776	0.71200215	M84.507561T718.6453_1
row84	84.50634599	689.774353	0.074537706	-2.419422165	M84.506346T689.7744
row85	84.58411076	617.2184143	0.757372245	0.544495218	M84.584111T617.2184_1
row86	84.61883426	718.6254883	0.648329975	0.777621061	M84.618834T718.6255_3
row87	84.73048167	718.6809082	0.427916477	1.215728452	M84.730482T718.6809_4
row88	84.77375234	569.458252	0.196694699	-1.846241179	M84.773752T569.4583_1
row89	84.82954881	569.458252	0.535543154	-0.999048584	M84.829549T569.4583_2
row90	84.93854724	579.5466309	0.895792747	-0.251189414	M84.938547T579.5466
row91	84.93871207	658.1661377	0.972965417	0.060466378	M84.938712T658.1661_1
row92	84.93861924	609.8063965	0.002362569	3.927350877	M84.938619T609.8064_1
row93	84.95782928	755.3071289	0.759049938	0.54022662	M84.957829T755.3071_3
row94	84.95857241	770.6570435	0.264147855	1.636275117	M84.958572T770.657_1
row95	84.95824777	524.5919495	0.010690296	3.327509649	M84.958248T524.5919
row96	84.95788904	658.0283813	0.617329774	0.83740765	M84.957889T658.0284_2
row97	84.95791676	738.8752136	0.784541622	0.481948758	M84.957917T738.8752_2
row98	84.98068352	755.3271179	0.770958554	0.514164273	M84.980684T755.3271_4
row99	84.98109215	770.65802	0.498650104	1.070889653	M84.981092T770.658_2
row100	84.98087882	657.6322937	0.570879187	0.929075246	M84.980879T657.6323_3
row101	84.9810326	578.6528015	0.703989701	0.655892153	M84.981033T578.6528_2
row102	84.98094198	609.6774292	0.272638635	1.610426537	M84.980942T609.6774_3
row103	84.98082958	738.9883728	0.621365612	0.829724676	M84.98083T738.9884_3
row104	85.0479917	897.2323303	0.708722758	0.64457541	M85.047992T897.2323
row105	85.64821014	37.65358353	0.126271302	-2.123638561	M85.64821T37.6536
row106	85.94547875	765.2353516	0.844075937	0.358217549	M85.945479T765.2354
row107	85.9632839	755.3106079	0.863658567	-0.313817585	M85.963284T755.3106
row108	85.96396493	770.6682739	0.9551767	0.102828736	M85.963965T770.6683
row109	86.00340193	677.1152954	0.015348974	-3.172115449	M86.003402T677.1153_1
row110	86.05904218	490.473465	0.005462621	3.617301977	M86.059042T490.4735
row111	86.07503841	99.13270569	0.717211774	0.626619282	M86.075038T99.1327_2
row112	86.09520653	98.665802	0.488494704	1.089669578	M86.095207T98.6658_3
row113	86.16166458	99.38185883	0.827230052	0.39257848	M86.161665T99.3819_6
row114	86.39177575	690.3681335	0.505768869	-1.055518658	M86.391776T690.3681_1
row115	86.44756782	690.3695068	0.462223809	-1.148083814	M86.447568T690.3695_2
row116	86.50334722	690.3454895	0.954561346	-0.105219781	M86.503347T690.3455_1
row117	86.61583703	718.540741	0.001370458	4.145980647	M86.615837T718.5407_1
row118	86.67161488	718.5085144	0.001660174	4.080287609	M86.671615T718.5085_2
row119	86.72601401	690.3840332	0.584318256	-0.905523392	M86.726014T690.384_2
row120	86.83784116	690.3746338	0.734908608	-0.593010117	M86.837841T690.3746_3
row121	86.95249538	765.8329163	0.321517962	1.472513766	M86.952495T765.8329_2
row122	86.95192798	684.320282	0.246256655	-1.691559209	M86.951928T684.3203_2
row123	86.95194619	669.9423523	0.477750118	-1.11081008	M86.951946T669.9424_1
row124	86.97402803	765.8401184	0.237844955	1.718654958	M86.974028T765.8401_3
row125	87.0806483	289.0145264	0.795685756	-0.460500122	M87.080648T289.0145
row126	87.0806146	256.1437988	0.753170129	0.552031475	M87.080615T256.1438
row127	87.09992089	98.74133301	0.319918976	1.476103957	M87.099921T98.7413_1
row128	87.10253559	741.96875	0.734695739	-0.593793001	M87.102536T741.9688_3
row129	87.39820879	730.6128235	0.001453401	-4.121833729	M87.398209T730.6128_2
row130	87.50937637	730.6193237	0.001806662	-4.03993834	M87.509376T730.6193_1
row131	87.62105979	730.618927	0.002286141	-3.94150148	M87.62106T730.6189_2
row132	87.83720082	693.4215088	0.046225477	-2.670888374	M87.837201T693.4215_1
row133	87.83965166	707.9311523	0.398914559	-1.277848732	M87.839652T707.9312
row134	87.89308516	693.4025269	0.069343445	-2.456247951	M87.893085T693.4025_2
row135	87.92421398	4.376561165	0.870680789	0.301509333	M87.924214T4.3766
row136	87.92422122	28.69461346	0.184904635	1.885475582	M87.924221T28.6946
row137	87.92421781	896.5454407	0.274423963	1.600608449	M87.924218T896.5454_1
row138	87.94469521	774.9021606	0.883873809	0.278124829	M87.944695T774.9022
row139	87.96040503	766.3030396	0.537666404	-0.994293777	M87.960405T766.303
row140	87.97168314	765.2761841	0.201059668	1.830388289	M87.971683T765.2762
row141	88.02319086	6.923364639	0.653913328	0.766487326	M88.023191T6.9234
row142	88.02305951	847.6902466	0.338887798	-1.421632553	M88.02306T847.6902
row143	88.08392456	655.4265747	0.835048354	-0.379235752	M88.083925T655.4266
row144	88.08392048	742.7044983	0.950248065	0.114428968	M88.08392T742.7045
row145	88.08393032	620.9087524	0.979222136	-0.047906115	M88.08393T620.9088
row146	88.10331697	99.75785065	0.79942337	-0.450378229	M88.103317T99.7579
row147	88.11222932	748.4206543	0.303827636	1.520265589	M88.112229T748.4207
row148	88.2875715	711.9592285	0.047209805	-2.661852783	M88.287572T711.9592_1
row149	88.5249924	6.300973415	0.923545461	0.181227796	M88.524992T6.301
row150	88.93218432	765.8701172	0.369645925	1.349217003	M88.932184T765.8701_1
row151	88.95268537	609.6204529	0.188080793	1.874567282	M88.952685T609.6205_1
row152	88.95268996	738.895752	0.348994985	-1.399304513	M88.95269T738.8958
row153	88.95267794	725.6746216	0.184904635	1.885680856	M88.952678T725.6746_1
row154	88.95271896	755.3226624	0.801422496	0.444418507	M88.952719T755.3227_1
row155	88.95326683	768.6535034	0.813200235	0.41739189	M88.953267T768.6535
row156	88.9682975	765.7945557	0.662214504	0.745371008	M88.968297T765.7946_2
row157	89.00569808	216.5281677	0.001956635	-4.001806428	M89.005698T216.5282
row158	89.03853922	199.4251709	0.861767803	-0.3190802	M89.038539T199.4252
row159	89.0925548	103.3702087	0.407802124	-1.255471194	M89.092555T103.3702_1
row160	89.11401292	103.2779694	0.366532748	-1.357353935	M89.114013T103.278_2
row161	89.13820401	103.8744659	0.292483311	-1.554002091	M89.138204T103.8745
row162	89.16999941	683.7893066	0.598995222	-0.875215731	M89.169999T683.7893_1
row163	89.3926265	684.320282	0.2123792	-1.795510722	M89.392626T684.3203_2
row164	89.39461904	721.5062866	0.119276903	-2.157086324	M89.394619T721.5063_1
row165	89.45025895	721.5041504	0.248666952	-1.682524144	M89.450259T721.5042_2
row166	89.50636639	730.7017822	0.000894054	-4.319200603	M89.506366T730.7018_1
row167	89.50434033	683.8097229	0.244990921	-1.696087135	M89.50434T683.8097_1
row168	89.56211388	730.8800354	0.000996912	-4.257242304	M89.562114T730.88_2
row169	89.72833358	677.2293701	0.056987232	-2.559199658	M89.728334T677.2294_2
row170	89.84055572	730.531189	0.003380399	-3.806126994	M89.840556T730.5312_3
row171	89.91690661	775.71875	0.264121673	1.637257012	M89.916907T775.7188
row172	89.93996416	774.3532715	0.929906081	-0.16816001	M89.939964T774.3533
row173	89.96094712	766.3792114	0.656436969	0.758294514	M89.960947T766.3792_1
row174	90.0551104	43.0787735	0.322564169	-1.470203055	M90.05511T43.0788
row175	90.07952343	616.9274902	0.373242289	1.339621056	M90.079523T616.9275
row176	90.11874842	103.3037796	0.158774852	-1.986061045	M90.118748T103.3038
row177	90.7302705	37.66707039	0.576673818	-0.919134191	M90.73027T37.6671_1
row178	90.90334358	774.2666016	0.896213646	0.24898506	M90.903344T774.2666
row179	90.92432438	775.7302856	0.324537923	-1.461721029	M90.924324T775.7303
row180	90.95330738	38.20912552	0.843928271	0.361142751	M90.953307T38.2091_4
row181	90.94800203	807.3919678	0.193955309	-1.854803118	M90.948002T807.392
row182	90.97514311	38.28052521	0.676850927	0.716389006	M90.975143T38.2805_5
row183	91.00036655	38.20912552	0.682661912	0.702853167	M91.000367T38.2091_6
row184	91.03913544	772.0026245	0.471545411	-1.12637317	M91.039135T772.0026
row185	91.03913873	828.1632385	0.857620092	0.331412723	M91.039139T828.1632
row186	91.05390073	162.3660278	0.242236947	1.704967688	M91.053901T162.366
row187	91.05433373	514.0752869	0.394213746	1.292127684	M91.054334T514.0753
row188	91.05428518	491.5544586	0.645044947	0.784114667	M91.054285T491.5545
row189	91.05425586	454.0146484	0.698539642	0.666136287	M91.054256T454.0146
row190	91.05410662	296.864563	0.750972767	-0.559598051	M91.054107T296.8646
row191	91.05378766	278.8361816	0.34405545	-1.411398632	M91.053788T278.8362
row192	91.05427404	781.780365	0.911292585	0.217056659	M91.054274T781.7804
row193	91.05412153	259.862915	0.67168286	0.727828154	M91.054122T259.8629
row194	91.05427173	199.4572449	0.664906687	-0.740714864	M91.054272T199.4572
row195	91.05418009	381.5921936	0.318864639	1.479547551	M91.05418T381.5922
row196	91.9565782	766.3884888	0.825715136	0.394833843	M91.956578T766.3885
row197	91.98019831	38.20912552	0.695058093	0.674957168	M91.980198T38.2091
row198	92.05957714	677.2554932	0.201627348	-1.828526372	M92.059577T677.2555_1
row199	92.17314717	723.8088989	0.32545835	-1.459011545	M92.173147T723.8089_1
row200	92.22895311	723.824585	0.634559945	-0.806260076	M92.228953T723.8246_2
row201	92.50729014	723.8439331	0.005953148	-3.577101508	M92.50729T723.8439_1
row202	92.61883343	723.8519287	0.059802022	-2.533707317	M92.618833T723.8519_2
row203	92.81472356	676.0774536	0.750210574	0.562437282	M92.814724T676.0775
row204	92.90044239	774.4248962	0.746804802	-0.569268151	M92.900442T774.4249
row205	92.94834088	757.6875	0.535753656	0.997911972	M92.948341T757.6875
row206	92.96568314	198.8497467	0.142436093	2.058222813	M92.965683T198.8497
row207	92.96570937	38.75666046	0.841091839	0.366020735	M92.965709T38.7567
row208	92.98110753	38.20912552	0.909358095	0.2222	M92.981108T38.2091_1
row209	93.06972734	162.3661118	0.090574428	2.313927096	M93.069727T162.3661_2
row210	93.20232659	37.65328217	0.010552501	-3.341608808	M93.202327T37.6533_2
row211	93.9546121	766.4173889	0.211411673	1.799274367	M93.954612T766.4174
row212	94.95541089	772.295166	0.62964638	-0.814935636	M94.955411T772.2952
row213	95.00845584	768.4136963	0.873249948	0.295444926	M95.008456T768.4137
row214	95.08544174	490.4787598	0.451126367	1.172344881	M95.085442T490.4788
row215	95.08556149	580.9503082	0.401454521	1.272698616	M95.085561T580.9503
row216	95.17417879	713.2133789	0.265082567	-1.632661343	M95.174179T713.2134
row217	95.97356581	765.7755127	0.820962763	-0.404414869	M95.973566T765.7755
row218	96.92194961	40.97187996	0.641951414	-0.792164778	M96.92195T40.9719
row219	96.93776496	764.7644043	0.39456089	1.290779152	M96.937765T764.7644_1
row220	96.96065705	4.977481365	0.95995988	0.091361372	M96.960657T4.9775
row221	96.96077051	30.39990997	0.207190091	1.813235709	M96.960771T30.3999
row222	96.96068217	838.8963623	0.991506707	-0.023543015	M96.960682T838.8964
row223	96.96069234	857.2688599	0.634988616	-0.805420174	M96.960692T857.2689
row224	96.97204983	764.2872314	0.652829153	0.770284352	M96.97205T764.2872
row225	97.10137187	378.3680725	0.883873809	0.278618187	M97.101372T378.3681
row226	97.93789854	764.8210144	0.643628243	0.787375279	M97.937899T764.821
row227	97.9689301	765.7818298	0.240856962	1.708847616	M97.96893T765.7818
row228	98.91889674	40.97027206	0.486591647	-1.093812576	M98.918897T40.9703
row229	98.93588822	766.3955688	0.41291953	1.244906389	M98.935888T766.3956_1
row230	98.96119403	766.2935181	0.111766449	2.192551572	M98.961194T766.2935_2
row231	98.96138192	564.7984619	0.080934614	2.377801873	M98.961382T564.7985
row232	98.9614718	518.6207886	0.00955846	3.386432442	M98.961472T518.6208
row233	98.97452535	250.5011215	0.966885623	0.075936283	M98.974525T250.5011
row234	98.97446269	237.1904755	0.990953007	-0.024844223	M98.974463T237.1905
row235	99.68898426	690.9681396	0.102800437	2.245329325	M99.688984T690.9681
row236	99.93524507	765.3786621	0.861767803	-0.319794238	M99.935245T765.3787
row237	99.94816586	765.7640076	0.615861392	0.842382122	M99.948166T765.764_1
row238	99.96902313	765.977356	0.592635507	-0.888440597	M99.969023T765.9774_2
row239	100.0245076	34.20717812	0.614407103	0.845983858	M100.024508T34.2072_4
row240	100.0739359	490.4768372	0.002286141	3.940864666	M100.073936T490.4768
row241	100.7565662	37.65394211	0.018397286	-3.086502778	M100.756566T37.6539
row242	100.9314964	765.7897949	0.150790789	2.021371269	M100.931496T765.7898_1
row243	100.9573046	766.2982178	0.404364999	1.26680309	M100.957305T766.2982_2
row244	101.0057766	216.639122	0.000330327	-4.695876857	M101.005777T216.6391
row245	101.0085112	583.1280518	0.926489321	-0.175416351	M101.008511T583.1281
row246	101.0234454	84.59862518	0.695947317	0.671784802	M101.023445T84.5986
row247	101.024167	34.17076111	0.526910347	1.013423932	M101.024167T34.1708_3
row248	101.0711232	43.61058807	0.226872689	-1.753425577	M101.071123T43.6106
row249	101.0781955	490.4714966	0.474354924	1.119753239	M101.078196T490.4715
row250	101.0962939	417.6323853	0.725931221	0.611584849	M101.096294T417.6324
row251	101.9405209	764.8187866	0.847839214	0.348770762	M101.940521T764.8188
row252	101.9647397	766.3202515	0.729200563	0.604609969	M101.96474T766.3203
row253	102.0217913	34.20277023	0.676850927	0.715847927	M102.021791T34.2028_2
row254	102.6889856	683.2084961	0.795685756	-0.45932667	M102.688986T683.2085
row255	102.9323554	766.3203735	0.808255047	0.430684144	M102.932355T766.3204_1
row256	102.9478752	766.3955688	0.225449681	1.758026556	M102.947875T766.3956_2
row257	102.9694121	657.6416931	0.835048354	-0.379430079	M102.969412T657.6417
row258	102.9693831	484.6726532	0.152695116	2.010675096	M102.969383T484.6727
row259	102.9695487	592.4103088	0.408403435	1.254055696	M102.969549T592.4103
row260	102.9693175	755.2904053	0.811083917	0.421767558	M102.969318T755.2904_1
row261	102.9693909	770.6166077	0.925786073	-0.176831282	M102.969391T770.6166
row262	102.9694008	739.0175781	0.750952878	0.559971416	M102.969401T739.0176
row263	103.0538516	162.4102936	0.036273713	2.785611554	M103.053852T162.4103
row264	103.0754973	562.5111694	0.659451932	0.752369057	M103.075497T562.5112
row265	103.0755404	771.6922302	0.648392746	-0.777005715	M103.07554T771.6922
row266	103.0755342	337.7454834	0.010632129	-3.333634377	M103.075534T337.7455
row267	103.8012904	474.6496124	0.331350686	1.441562348	M103.80129T474.6496_1
row268	103.9431122	5.625762701	0.155226876	-2.001109188	M103.943112T5.6258
row269	103.9431167	28.00940228	0.795685756	0.459796469	M103.943117T28.0094
row270	103.9556527	771.7603455	0.41030663	1.250505299	M103.955653T771.7603
row271	103.9782483	755.2249756	0.901792188	-0.238423845	M103.978248T755.225
row272	104.0530714	64.70726013	0.348994985	1.399327614	M104.053071T64.7073_2
row273	104.0575588	162.3481369	0.027339754	2.917859884	M104.057559T162.3481
row274	104.0707664	44.23354721	0.05725398	2.555286981	M104.070766T44.2335
row275	104.1067222	587.9699097	0.923092535	-0.186265072	M104.106722T587.9699
row276	104.1067376	557.736084	0.933378848	-0.161114658	M104.106738T557.7361
row277	104.1072968	42.01541901	0.295053127	1.545593179	M104.107297T42.0154_2
row278	104.1359884	42.01281166	0.480455159	1.105904164	M104.135988T42.0128_4
row279	104.93436	766.3432617	0.947098783	0.123460969	M104.93436T766.3433_1
row280	104.9484268	766.4105225	0.995448255	-0.010136229	M104.948427T766.4105_2
row281	104.9635346	765.9971313	0.796575358	-0.457680944	M104.963535T765.9971_3
row282	104.9829332	216.5836563	0.000771601	-4.365454267	M104.982933T216.5837
row283	104.9927205	766.3030396	0.922711823	0.190926762	M104.992721T766.303_4
row284	105.0034892	34.20207214	0.594200538	0.883868001	M105.003489T34.2021_2
row285	105.0327302	34.1208725	0.471425172	1.127088452	M105.03273T34.1209_3
row286	105.0334348	506.8949585	7.85e-05	5.446040573	M105.033435T506.895
row287	105.0336784	435.1977234	0.784422988	-0.48252863	M105.033678T435.1977
row288	105.0336035	407.34021	0.894726261	-0.25271261	M105.033604T407.3402
row289	105.1105345	42.01455307	0.329464514	1.445784646	M105.110535T42.0146_2
row290	105.934994	778.7316284	0.708881205	0.644125463	M105.934994T778.7316
row291	105.9350694	3.051534057	0.861767803	0.31982963	M105.935069T3.0515
row292	105.9349715	28.4177494	0.487045098	-1.092676917	M105.934971T28.4177
row293	105.9540605	771.9215698	0.275141716	-1.598380585	M105.954061T771.9216
row294	105.9654472	766.5157471	0.177809426	-1.909759843	M105.965447T766.5157
row295	105.9907199	216.5660172	0.008537743	-3.439062344	M105.99072T216.566
row296	106.0054913	34.20581436	0.587284561	0.899411032	M106.005491T34.2058
row297	106.0500435	43.67751312	0.91	-4.123848551	M106.050043T43.6775
row298	106.0863873	246.5861511	0.268008716	-1.623747705	M106.086387T246.5862
row299	106.1929035	723.6842651	0.346314492	-1.405241928	M106.192904T723.6843
row300	106.9437035	766.3029175	0.615903659	0.840701973	M106.943704T766.3029_1
row301	106.9639126	564.7839355	0.640481865	0.794532673	M106.963913T564.7839_1
row302	106.9656331	766.4424744	0.44939773	1.175940352	M106.965633T766.4425_2
row303	106.9787593	216.4684906	0.000845514	-4.334950885	M106.978759T216.4685
row304	106.9790993	766.2898254	0.468969985	1.132186034	M106.979099T766.2898_3
row305	106.9938226	767.9332886	0.745897383	-0.571185132	M106.993823T767.9333
row306	107.0010163	34.20397186	0.571696213	0.92601973	M107.001016T34.204
row307	107.0284312	769.704834	0.954561346	0.104762647	M107.028431T769.7048
row308	107.0492621	162.4067726	0.010682907	3.328436423	M107.049262T162.4068
row309	107.0854862	474.6837311	0.131867507	2.097928417	M107.085486T474.6837
row310	107.7269666	37.78177643	0.017894707	-3.102387829	M107.726967T37.7818_1
row311	107.9506846	777.474884	0.461950124	-1.149033885	M107.950685T777.4749
row312	107.9506057	3.217615604	0.591120125	-0.892069735	M107.950606T3.2176
row313	107.9505229	809.0067444	0.149240129	2.026516582	M107.950523T809.0067
row314	107.9600395	758.1365051	0.711949321	0.639023306	M107.960039T758.1365
row315	107.9716395	766.5598145	0.847839214	-0.34804792	M107.971639T766.5598
row316	108.3106768	37.65586472	0.024015054	-2.973727876	M108.310677T37.6559_2
row317	108.9413974	766.5966797	0.874649271	-0.293266005	M108.941397T766.5967_1
row318	108.9595907	766.5430908	0.084592131	2.351158242	M108.959591T766.5431_2
row319	108.958445	837.8804932	0.972657555	-0.063846953	M108.958445T837.8805
row320	109.1014046	404.6580353	0.810846942	-0.423368646	M109.101405T404.658_2
row321	109.1014035	352.7539368	0.795685756	-0.459362821	M109.101403T352.7539
row322	109.101404	327.4402466	0.989131251	-0.028246021	M109.101404T327.4402
row323	109.2968228	474.6140747	0.529881973	1.008468534	M109.296823T474.6141
row324	109.9671902	766.7814026	0.180886527	1.899720951	M109.96719T766.7814
row325	110.1047575	404.6435699	0.71956754	-0.62281877	M110.104757T404.6436
row326	110.1047485	352.7782288	0.290988179	-1.557834722	M110.104748T352.7782
row327	110.9570941	766.3756409	0.562156563	-0.945682494	M110.957094T766.3756
row328	110.9529881	250.78479	0.868792412	-0.305093385	M110.952988T250.7848
row329	111.0234046	3.713502765	0.550890069	-0.969892719	M111.023405T3.7135
row330	111.0234116	26.66388988	0.569607776	-0.932237338	M111.023412T26.6639
row331	111.0810756	162.3288651	0.750642274	-0.561678647	M111.081076T162.3289
row332	111.1170063	473.6599121	0.004366222	3.696413961	M111.117006T473.6599
row333	111.9685653	765.6359863	0.734934714	0.5924108	M111.968565T765.636
row334	111.9846226	4.960942745	0.943873141	0.130654591	M111.984623T4.9609
row335	111.9846162	26.67399597	0.841091839	-0.366502195	M111.984616T26.674
row336	112.0737278	490.4693604	0.001245278	4.177305634	M112.073728T490.4694
row337	113.0091494	33.77608681	0.31374368	1.49208733	M113.009149T33.7761
row338	113.0191128	768.4178467	0.744186952	-0.575637304	M113.019113T768.4178
row339	113.0227995	62.72234917	0.489487223	-1.087325826	M113.022799T62.7223
row340	113.0348364	82.35728455	0.050105633	-2.632595869	M113.034836T82.3573_2
row341	113.0599022	780.3016968	0.861767803	-0.319101362	M113.059902T780.3017
row342	113.078126	490.4768372	0.000348207	4.677066766	M113.078126T490.4768
row343	113.9406692	764.8377686	0.635859124	0.803255623	M113.940669T764.8378_1
row344	113.9639348	765.361908	0.277287611	1.592640692	M113.963935T765.3619_2
row345	113.9768501	765.2298584	0.777969783	-0.49488275	M113.97685T765.2299_3
row346	113.9969582	765.4135742	0.86298042	-0.315959585	M113.996958T765.4136_4
row347	114.0915671	221.3461304	0.114369923	2.177228968	M114.091567T221.3461
row348	114.9576969	766.0970764	0.147502291	2.034121053	M114.957697T766.0971
row349	114.9718195	5.51777935	0.676850927	0.715775374	M114.971819T5.5178
row350	114.9717252	32.98258209	0.97703553	0.052723633	M114.971725T32.9826
row351	115.0391605	248.1971054	0.685802613	0.696527825	M115.039161T248.1971_2
row352	115.0387956	181.5899963	0.105494371	2.23291516	M115.038796T181.59_1
row353	115.0535142	199.4201813	0.778200101	-0.492989173	M115.053514T199.4202
row354	115.054402	474.5684814	0.021754428	3.014920654	M115.054402T474.5685
row355	115.9396386	774.5792847	0.993710284	0.017423568	M115.939639T774.5793
row356	115.9625757	766.2489929	0.361279303	1.37251751	M115.962576T766.249
