,compound_names,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_chebi,ui_chebi,gt_index,ui_index,eid
73,L-Histidine,L-histidine,42.6355895996094,43.08,0.4444104003905949,0.0069673716303879,M156.077071T42.6356,15971,15971,6,784,E600
74,L-Histidine,L-histidine,60.79345703125,43.08,17.71345703125,0.0077339207149691,M156.076881T60.7935,15971,15971,6,785,E601
75,L-Histidine,L-histidine,42.44362449646,43.08,0.6363755035400018,0.0022990272644989,M157.08123T42.4436_3,15971,15971,6,792,E600
76,Indole-3-acetaldehyde,Indole-3-acetaldehyde,199.983901977539,317.76,117.77609802246099,0.5126888886718429,M160.07572T199.9839,18086,18086,303,814,E648
77,Indole-3-acetaldehyde,Indole-3-acetaldehyde,291.525726318359,317.76,26.234273681641014,6.498414212922305e-05,M160.07578T291.5257,18086,18086,303,815,E649
78,Indole-3-acetaldehyde,Indole-3-acetaldehyde,381.035189582031,317.76,63.27518958203103,0.6653833681536008,M160.075976T381.0352,18086,18086,303,816,E650
79,Indole-3-acetaldehyde,Indole-3-acetaldehyde,199.447372436523,317.76,118.31262756347698,0.4120187863100438,M161.079275T199.4474,18086,18086,303,822,E648
80,arachidonic acid,Arachidonic acid,43.255220413208,585.36,542.104779586792,0.4928577498735512,M164.118059T43.2552_2,15843,15843,508,824,E567
81,L-Phenylalanine$,L-phenylalanine,81.1728820800781,163.62,82.44711791992191,0.6047776776909687,M165.077086T81.1729_3,17295,17295,109,844,E686
82,L-Phenylalanine$,L-phenylalanine,162.415054321289,163.62,1.204945678710999,0.0508453340968359,M166.086508T162.4151_6,17295,17295,109,860,E686
83,L-Phenylalanine$,L-phenylalanine,239.356872558594,163.62,75.736872558594,0.9684423674192236,M166.08657T239.3569,17295,17295,109,862,E687
84,L-Phenylalanine$,L-phenylalanine,162.410293579102,163.62,1.2097064208980157,0.04428625896819,M167.089818T162.4103_2,17295,17295,109,876,E686
85,Pyridoxamine,Pyridoxamine,162.596374511719,169.08,6.483625488281007,0.0349458658504061,M168.090948T162.5964,16410,16410,112,886,E747
86,L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid,L-glutamine,62.1095714569092,43.92,18.1895714569092,0.9142702265000524,M169.058552T62.1096,18050,18050,15,894,E453
87,L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid,L-glutamine,42.5783500671387,43.92,1.3416499328613014,0.1983972349405423,M169.058404T42.5784,18050,18050,15,897,E452
88,L-Lysine,L-lysine,38.2091255187988,36.78,1.4291255187987986,0.7591261900422247,M169.094911T38.2091_2,18019,18019,1,900,E24
89,L-Lysine,L-lysine,62.7052993774414,36.78,25.925299377441398,0.7187185587763608,M169.095636T62.7053_7,18019,18019,1,901,E25
90,Pyridoxamine,Pyridoxamine,62.7052993774414,169.08,106.3747006225586,0.7187185587763608,M169.095636T62.7053_7,16410,16410,112,902,E746
91,Pyridoxamine,Pyridoxamine,167.616592407227,169.08,1.4634075927730237,0.4583358822410466,M169.096734T167.6166,16410,16410,112,903,E747
92,D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde,L-glutamic acid,62.6563949584961,269.64,206.9836050415039,0.0078616638831279,M170.040785T62.6564,16015,16015,236,918,E495
93,"3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate",4-hydroxyphenylacetic acid,267.066696166992,234.48,32.58669616699203,0.0202626523398294,M175.03687T267.0667,18101,18101,188,935,E558
94,L-Histidine,L-histidine,474.632415771484,43.08,431.552415771484,0.8986842949049495,M178.057151T474.6324,15971,15971,6,962,E604
95,L-Histidine,L-histidine,41.2218132019043,43.08,1.8581867980957014,0.0162675036324795,M178.059049T41.2218,15971,15971,6,963,E600
96,"1,7-Dimethylxanthine; Paraxanthine$",Paraxanthine,359.155868530273,205.68,153.47586853027298,0.0839645924214552,M180.065834T359.1559,25858,25858,150,982,E112
97,"1,7-Dimethylxanthine; Paraxanthine$",Theobromine,359.155868530273,183.18,175.97586853027298,0.0839645924214552,M180.065834T359.1559,28946,28946,123,983,E112
98,"1,7-Dimethylxanthine; Paraxanthine$",Paraxanthine,371.682556152344,205.68,166.00255615234397,0.896727859931834,M180.065846T371.6826,25858,25858,150,986,E112
99,"1,7-Dimethylxanthine; Paraxanthine$",Theobromine,371.682556152344,183.18,188.50255615234397,0.896727859931834,M180.065846T371.6826,28946,28946,123,987,E112
100,"1,7-Dimethylxanthine; Paraxanthine$",Paraxanthine,346.888549804688,205.68,141.208549804688,0.321247968841485,M181.071396T346.8885,25858,25858,150,1003,E112
101,"1,7-Dimethylxanthine; Paraxanthine$",Theobromine,346.888549804688,183.18,163.708549804688,0.321247968841485,M181.071396T346.8885,28946,28946,123,1004,E112
102,L-Tyrosine$,L-tyrosine,80.9028816223145,77.04,3.8628816223144895,0.4284304604583632,M182.081511T80.9029_5,17895,17895,51,1023,E872
103,L-Tyrosine$,L-tyrosine,80.9010696411133,77.04,3.861069641113289,0.3598835782944896,M183.084823T80.9011_2,17895,17895,51,1029,E872
104,L-Phenylalanine$,L-phenylalanine,162.323249816895,163.62,1.2967501831050186,0.6019649240208147,M188.068469T162.3232,17295,17295,109,1049,E686
105,,Azelaic acid,347.910400390625,304.56,43.350400390625,0.1204830477189083,M189.112458T347.9104,48131,48131,286,1061,E176
106,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,150.142196655273,150.0,0.14219665527301117,0.0005492419491732,M191.058035T150.1422_1,27823,27823,98,1086,E960
107,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,319.305313110352,150.0,169.30531311035202,4.616661482705084e-05,M192.065855T319.3053_2,27823,27823,98,1094,E961
108,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,150.101318359375,150.0,0.101318359375,0.0001052925664625,M192.065825T150.1013_2,27823,27823,98,1096,E960
109,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,196.675315856934,150.0,46.67531585693399,0.8304188218719887,M192.067214T196.6753_3,27823,27823,98,1098,E960
110,N-Acetylmethionine,N-acetylmethionine,196.675315856934,241.14000000000001,44.46468414306602,0.8304188218719887,M192.067214T196.6753_3,21557,21557,201,1100,E980
111,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,150.108978271484,150.0,0.10897827148400552,0.0001919479512516,M193.069044T150.109,27823,27823,98,1106,E960
112,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,205.232818603516,150.0,55.232818603515994,0.1062806165655577,M193.069194T205.2328_3,27823,27823,98,1108,E960
