,compound_name,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_chebi,ui_chebi,gt_index,ui_index
84,L-Methionine,L-methionine,50.2738151550293,65.46,15.186184844970697,0.9544812256758148,M172.040538T50.2738,CHEBI:16643,16643,46,870
85,4-Hydroxyphenylacetate,4-hydroxyphenylacetic acid,267.066696166992,234.48,32.58669616699203,0.0202626523398294,M175.03687T267.0667,CHEBI:18101,18101,188,874
86,Indole-3-acetate,Indole-3-acetate,314.288513183594,273.12,41.16851318359397,0.2627063197635111,M175.062014T314.2885_2,CHEBI:16411,16411,239,879
87,Indole-3-acetamide,Indole-3-acetamide,125.176258087158,123.60000000000001,1.5762580871579956,0.0004554474109491,M175.087302T125.1763,CHEBI:16031,16031,82,881
88,L-Arginine,L-arginine,42.5390663146973,43.08,0.5409336853026971,0.1441066869941953,M175.119303T42.5391_2,CHEBI:16467,16467,7,882
89,Indole-3-acetate,Indole-3-acetate,314.250106811523,273.12,41.13010681152298,0.7877251681688616,M176.07091T314.2501_3,CHEBI:16411,16411,239,886
90,L-Arginine,L-arginine,42.6341705322266,43.08,0.44582946777340027,0.4478433334822414,M176.122765T42.6342_2,CHEBI:16467,16467,7,889
91,Indole-3-acetate,Indole-3-acetate,314.196166992188,273.12,41.07616699218801,0.7829491269730208,M177.074244T314.1962_1,CHEBI:16411,16411,239,892
92,L-Histidine,L-histidine,474.632415771484,43.08,431.552415771484,0.8986842949049495,M178.057151T474.6324,CHEBI:15971,15971,6,897
93,L-Histidine,L-histidine,41.2218132019043,43.08,1.8581867980957014,0.0162675036324795,M178.059049T41.2218,CHEBI:15971,15971,6,898
94,Cys-Gly,Cysteinylglycine,155.816467285156,250.32,94.503532714844,0.4577524100889986,M179.049004T155.8165,CHEBI:4047,4047,208,901
95,L-Tyrosine,L-tyrosine,80.9028816223145,77.04,3.8628816223144895,0.4284304604583632,M182.081511T80.9029_5,CHEBI:17895,17895,51,955
96,L-Tyrosine,L-tyrosine,80.9010696411133,77.04,3.861069641113289,0.3598835782944896,M183.084823T80.9011_2,CHEBI:17895,17895,51,959
97,L-Phenylalanine,L-phenylalanine,162.323249816895,163.62,1.2967501831050186,0.6019649240208147,M188.068469T162.3232,CHEBI:17295,17295,109,977
98,"N6,N6,N6-Trimethyl-L-lysine","Nepsilon,nepsilon,nepsilon-trimethyllysine",39.9310512542725,40.92,0.9889487457275052,5.8692018646200455e-05,M189.160141T39.9311,CHEBI:17311,17311,4,988
99,Pyridoxal,Pyridoxal,33.0819301605225,244.07999999999998,210.9980698394775,0.5713196910456735,M190.047817T33.0819,CHEBI:17310,17310,205,989
100,"N6,N6,N6-Trimethyl-L-lysine","Nepsilon,nepsilon,nepsilon-trimethyllysine",39.8824882507324,40.92,1.0375117492676011,4.616661482705084e-05,M190.163557T39.8825,CHEBI:17311,17311,4,990
101,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,150.142196655273,150.0,0.14219665527301117,0.0005492419491732,M191.058035T150.1422_1,CHEBI:27823,27823,98,1009
102,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,319.305313110352,150.0,169.30531311035202,4.616661482705084e-05,M192.065855T319.3053_2,CHEBI:27823,27823,98,1016
103,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,150.101318359375,150.0,0.101318359375,0.0001052925664625,M192.065825T150.1013_2,CHEBI:27823,27823,98,1018
106,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,150.108978271484,150.0,0.10897827148400552,0.0001919479512516,M193.069044T150.109,CHEBI:27823,27823,98,1027
107,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,205.232818603516,150.0,55.232818603515994,0.1062806165655577,M193.069194T205.2328_3,CHEBI:27823,27823,98,1029
108,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,319.299987792969,150.0,169.29998779296898,9.600576718505488e-05,M193.069272T319.3,CHEBI:27823,27823,98,1031
109,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,86.9109954833984,150.0,63.089004516601605,1.1184601786794775e-05,M193.068543T86.911,CHEBI:27823,27823,98,1033
110,Indole-3-acetate,Indole-3-acetate,314.266967773438,273.12,41.14696777343801,0.4801116560384496,M198.052898T314.267_2,CHEBI:16411,16411,239,1051
111,N-acetyl-L-alanine,N-acetyl-L-alanine,62.7871246337891,53.64,9.147124633789097,0.144401245593141,M199.046333T62.7871,CHEBI:40992,40992,37,1056
112,N-acetyl-L-alanine,N-acetyl-L-alanine,33.6577796936035,53.64,19.9822203063965,0.2894246070717752,M199.04546T33.6578_2,CHEBI:40992,40992,37,1057
113,N-acetyl-L-alanine,N-acetyl-L-alanine,47.7445106506348,53.64,5.895489349365199,0.0113385550404905,M199.046551T47.7445,CHEBI:40992,40992,37,1062
114,L-Tyrosine,L-tyrosine,79.8712730407715,77.04,2.8312730407714923,0.5327445406321004,M204.063389T79.8713,CHEBI:17895,17895,51,1098
115,L-Tyrosine,L-tyrosine,60.7208404541016,77.04,16.31915954589841,0.6529465272673693,M204.063367T60.7208,CHEBI:17895,17895,51,1100
120,5-Methoxyindoleacetate,5-methoxyindoleacetic acid,291.506881713867,301.26,9.753118286132974,4.616661482705084e-05,M206.081449T291.5069_3,CHEBI:28281,28281,279,1116
123,Choline phosphate,Phosphocholine,365.67529296875,187.14000000000001,178.53529296874999,0.2248908048928755,M207.064995T365.6753,CHEBI:18132,18132,129,1132
124,5-Methoxyindoleacetate,5-methoxyindoleacetic acid,291.516845703125,301.26,9.743154296874991,4.616661482705084e-05,M207.083957T291.5168,CHEBI:28281,28281,279,1133
125,L-Kynurenine,L-kynurenine,150.116195678711,151.2,1.0838043212889943,0.0004124292420933,M209.092336T150.1162_4,CHEBI:16946,16946,101,1135
126,L-Kynurenine,L-kynurenine,150.064407348633,151.2,1.1355926513669772,0.0001273341267813,M210.095655T150.0644_2,CHEBI:16946,16946,101,1137
127,L-Kynurenine,L-kynurenine,197.113311767578,151.2,45.91331176757802,0.6976184413301867,M210.095996T197.1133_3,CHEBI:16946,16946,101,1139
128,"N6,N6,N6-Trimethyl-L-lysine","Nepsilon,nepsilon,nepsilon-trimethyllysine",40.1073112487793,40.92,0.8126887512207048,0.0012927955413557,M211.14208T40.1073,CHEBI:17311,17311,4,1144
129,N-Acetylmethionine,N-acetylmethionine,214.660629272461,241.14000000000001,26.47937072753902,0.5667844340134907,M214.051147T214.6606,CHEBI:21557,21557,201,1154
130,4-Hydroxyphenylacetate,4-hydroxyphenylacetic acid,285.197784423828,234.48,50.71778442382802,0.4173869572619374,M221.042214T285.1978,CHEBI:18101,18101,188,1175
131,5-Hydroxy-L-tryptophan,L-5-hydroxytryptophan,199.966636657715,117.36,82.60663665771499,0.532324625151232,M221.092091T199.9666,CHEBI:17780,17780,67,1180
132,5-Hydroxy-L-tryptophan,L-5-hydroxytryptophan,125.007293701172,117.36,7.6472937011720035,9.085060724776078e-05,M221.092297T125.0073,CHEBI:17780,17780,67,1181
133,5-Hydroxy-L-tryptophan,L-5-hydroxytryptophan,124.808631896973,117.36,7.448631896972998,5.683903771134942e-05,M222.095609T124.8086,CHEBI:17780,17780,67,1184
138,L-Kynurenine,L-kynurenine,150.06364440918,151.2,1.1363555908199885,0.0018738052357169,M231.074265T150.0636,CHEBI:16946,16946,101,1207
139,6-Hydroxymelatonin,6-hydroxymelatonin,33.6216335296631,353.04,319.41836647033693,0.5098246778421995,M271.102696T33.6216,CHEBI:2198,2198,333,1301
140,cis-9-retinal,(9cis)-retinal,539.123046875,539.94,0.8169531250000546,0.2840331978717402,M285.221241T539.123,CHEBI:78273,78273,481,1384
141,cis-9-retinal,(9cis)-retinal,446.118286132812,539.94,93.82171386718807,0.4129366719479705,M285.221311T446.1183,CHEBI:78273,78273,481,1387
144,Adenosine,Adenosine,486.90608215332,110.82,376.08608215332004,0.5361595211750233,M290.083788T486.9061_1,CHEBI:16335,16335,64,1422
145,5alpha-Dihydrotestosterone,5-dihydrotestosterone,461.669525146484,424.26,37.409525146483986,0.2059850659685976,M291.231876T461.6695,CHEBI:16330,16330,400,1425
146,Bilirubin,Bilirubin,343.232452392578,439.20000000000005,95.96754760742203,0.0007473892366719,M293.138617T343.2325,CHEBI:16990,16990,416,1436
147,Bilirubin,Bilirubin,343.496917724609,439.20000000000005,95.70308227539107,0.0561611668666744,M293.640736T343.4969_1,CHEBI:16990,16990,416,1441
148,Acid,Trans-aconitic acid,571.828521728516,527.16,44.668521728516,0.4637535065253834,M297.278785T571.8285,CHEBI:32806,32806,475,1475
149,5-Methylthioadenosine,5'-methylthioadenosine,209.123718261719,209.82,0.6962817382809874,2.240101049490115e-05,M298.096815T209.1237,CHEBI:17509,17509,156,1477
150,Acid,Trans-aconitic acid,571.886169433594,527.16,44.72616943359401,0.8771664346807329,M298.28217T571.8862,CHEBI:32806,32806,475,1481
151,5-Methylthioadenosine,5'-methylthioadenosine,209.117195129395,209.82,0.7028048706050072,1.1184601786794775e-05,M299.100502T209.1172,CHEBI:17509,17509,156,1482
152,Sphingosine,D-sphingosine,503.473098754883,503.04,0.43309875488296257,0.0145763384366311,M300.28967T503.4731,CHEBI:16393,16393,454,1487
153,Sphingosine,D-sphingosine,576.292816162109,503.04,73.25281616210901,0.0117754275727838,M300.289651T576.2928_2,CHEBI:16393,16393,454,1489
154,Sphingosine,D-sphingosine,576.3017578125,503.04,73.26175781249998,0.027895955364256,M301.292998T576.3018_4,CHEBI:16393,16393,454,1507
155,Sphingosine,D-sphingosine,503.033767700195,503.04,0.006232299804992181,0.0087299961487753,M301.293051T503.0338,CHEBI:16393,16393,454,1509
156,arachidonic acid,Arachidonic acid,584.508117675781,585.36,0.851882324218991,0.0511472991793035,M305.247407T584.5081,CHEBI:15843,15843,508,1554
157,arachidonic acid,Arachidonic acid,599.190246582031,585.36,13.830246582031009,0.000445643127109,M305.245118T599.1902_2,CHEBI:15843,15843,508,1556
158,arachidonic acid,Arachidonic acid,38.0712394714355,585.36,547.2887605285645,0.5794985226458115,M305.245339T38.0712,CHEBI:15843,15843,508,1558
159,arachidonic acid,Arachidonic acid,545.32373046875,585.36,40.036269531250014,0.0254964896738092,M305.247366T545.3237,CHEBI:15843,15843,508,1560
160,arachidonic acid,Arachidonic acid,584.597503662109,585.36,0.7624963378909797,0.0619014301573416,M306.250719T584.5975,CHEBI:15843,15843,508,1566
161,arachidonic acid,Arachidonic acid,599.194122314453,585.36,13.834122314452998,0.0003880366033058,M306.248519T599.1941,CHEBI:15843,15843,508,1567
164,Geranyl diphosphate,Geranyl pyrophosphate,437.995040893555,439.02,1.02495910644501,0.211693605288041,M315.075133T437.995,CHEBI:17211,17211,415,1615
165,5-Methylthioadenosine,5'-methylthioadenosine,516.985463851563,209.82,307.16546385156306,0.0011752554048904,M320.080544T516.9855,CHEBI:17509,17509,156,1658
166,Sphingosine,D-sphingosine,584.187377929688,503.04,81.14737792968793,0.5843007418466393,M322.273837T584.1874,CHEBI:16393,16393,454,1716
167,arachidonic acid,Arachidonic acid,584.809265136719,585.36,0.5507348632810363,0.1302686505302905,M327.229295T584.8093,CHEBI:15843,15843,508,1741
168,arachidonic acid,Arachidonic acid,538.000213623047,585.36,47.359786376953025,0.7457347926456527,M327.231802T538.0002,CHEBI:15843,15843,508,1742
169,17alpha-Hydroxyprogesterone,17-hydroxyprogesterone,458.024108886719,458.82,0.7958911132810158,0.9618285280550378,M331.226662T458.0241_1,CHEBI:17252,17252,429,1762
170,17alpha-Hydroxyprogesterone,17-hydroxyprogesterone,415.883178710938,458.82,42.93682128906198,0.3368688848623213,M331.226665T415.8832,CHEBI:17252,17252,429,1766
171,Geranyl diphosphate,Geranyl pyrophosphate,474.614074707031,439.02,35.59407470703104,0.9262567097569588,M337.058117T474.6141,CHEBI:17211,17211,415,1825
172,Geranyl diphosphate,Geranyl pyrophosphate,438.147125244141,439.02,0.8728747558589589,0.9853760829859548,M337.056194T438.1471,CHEBI:17211,17211,415,1827
173,Prostaglandin B1,Prostaglandin B1,575.923370361328,512.7,63.223370361327966,0.0437861616005245,M337.234944T575.9234_2,CHEBI:27624,27624,460,1835
174,Prostaglandin B1,Prostaglandin B1,547.488403320312,512.7,34.788403320312,0.1596878281184062,M337.23518T547.4884,CHEBI:27624,27624,460,1855
175,17alpha-Hydroxyprogesterone,17-hydroxyprogesterone,580.389099121094,458.82,121.56909912109398,0.0026563742582343,M353.211119T580.3891,CHEBI:17252,17252,429,1997
176,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,676.236328125,550.32,125.91632812499995,0.6922403478162548,M379.250628T676.2363_3,CHEBI:37550,37550,487,2207
177,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,549.900909423828,550.32,0.4190905761720387,0.195747879194218,M380.256003T549.9009_2,CHEBI:37550,37550,487,2208
178,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,693.403778076172,550.32,143.08377807617194,0.8535418995285485,M380.258133T693.4038,CHEBI:37550,37550,487,2209
179,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,772.374633789062,550.32,222.054633789062,0.5926832608596387,M380.256025T772.3746,CHEBI:37550,37550,487,2210
180,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,549.882690429688,550.32,0.4373095703120953,0.2891399152119169,M381.259491T549.8827,CHEBI:37550,37550,487,2220
181,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,549.905395507812,550.32,0.41460449218800477,0.4884342672681673,M402.237955T549.9054,CHEBI:37550,37550,487,2289
182,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,679.0048828125,550.32,128.68488281249995,0.0135885728557752,M402.240028T679.0049_2,CHEBI:37550,37550,487,2290
183,Cholate,Cholate,711.608703613281,505.43999999999994,206.16870361328108,0.747691669517619,M409.292643T711.6087_2,CHEBI:16359,16359,456,2317
184,Cholate,Cholate,707.647430419922,505.43999999999994,202.20743041992205,0.9041368279790976,M431.280797T707.6474,CHEBI:16359,16359,456,2450
185,Chenodeoxyglycocholate,Glycochenodeoxycholate,504.367568969727,504.9,0.53243103027296,0.5275172228979201,M450.32162T504.3676_3,CHEBI:36274,36274,455,2518
186,Chenodeoxyglycocholate,Glycochenodeoxycholate,637.725036621094,504.9,132.825036621094,0.2709354972478484,M450.325813T637.725,CHEBI:36274,36274,455,2519
187,Chenodeoxyglycocholate,Glycochenodeoxycholate,504.363189697266,504.9,0.5368103027339544,0.4785522333494875,M451.32505T504.3632_3,CHEBI:36274,36274,455,2523
188,testosterone glucuronide,Epitestosterone glucuronide,718.398162841797,402.48,315.91816284179697,0.0081704855633303,M465.250499T718.3982_2,CHEBI:28835,28835,388,2556
189,glycocholate,Glycocholate,529.027404785156,479.28000000000003,49.74740478515599,0.0938171360943127,M466.31652T529.0274,CHEBI:17687,17687,445,2558
190,Chenodeoxyglycocholate,Glycochenodeoxycholate,504.363952636719,504.9,0.5360473632809999,0.5418487865005411,M472.303794T504.364,CHEBI:36274,36274,455,2577
191,Bilirubin,Bilirubin,343.585662841797,439.20000000000005,95.61433715820306,0.0660608530615487,M584.26048T343.5857,CHEBI:16990,16990,416,2672
192,Bilirubin,Bilirubin,606.443420410156,439.20000000000005,167.24342041015598,0.8800172089907524,M584.261006T606.4434,CHEBI:16990,16990,416,2674
193,Bilirubin,Bilirubin,499.949844360352,439.20000000000005,60.74984436035197,0.4549148174266934,M584.260133T499.9498,CHEBI:16990,16990,416,2676
194,Bilirubin,Bilirubin,606.446197509766,439.20000000000005,167.24619750976592,0.7687663763713866,M585.270993T606.4462,CHEBI:16990,16990,416,2677
195,Bilirubin,Bilirubin,343.353424072266,439.20000000000005,95.84657592773402,0.0618235839466269,M585.271206T343.3534,CHEBI:16990,16990,416,2678
196,Bilirubin,Bilirubin,508.336776733398,439.20000000000005,69.13677673339794,0.8368036975703295,M585.271239T508.3368,CHEBI:16990,16990,416,2679
197,Bilirubin,Bilirubin,343.355590820312,439.20000000000005,95.84440917968806,0.0688175247864249,M586.274532T343.3556_2,CHEBI:16990,16990,416,2680
198,Bilirubin,Bilirubin,504.163833618164,439.20000000000005,64.96383361816396,0.9932364026729912,M586.274549T504.1638,CHEBI:16990,16990,416,2681
199,Bilirubin,Bilirubin,606.354248046875,439.20000000000005,167.15424804687495,0.8768193774099053,M586.274411T606.3542,CHEBI:16990,16990,416,2682
200,Bilirubin,Bilirubin,606.572387695312,439.20000000000005,167.372387695312,0.9999568736807768,M607.253207T606.5724,CHEBI:16990,16990,416,2684
7,L-Proline,L-proline,43.9530963897705,44.94,0.986903610229497,0.1109773130653904,M116.070821T43.9531_2,CHEBI:17203,17203,22,299
17,N-acetyl-L-alanine,N-acetyl-L-alanine,45.7968521118164,53.64,7.843147888183601,0.9751188159410312,M130.050124T45.7969,CHEBI:40992,40992,37,434
19,N-acetyl-L-alanine,N-acetyl-L-alanine,76.6810455322266,53.64,23.041045532226605,0.9156713380195808,M130.05014T76.681,CHEBI:40992,40992,37,438
